EG;sesso;primogenito;L;M;S;3;10;25;50;75;90;97
23,5;F;NO;1.173;21.2;0.0613;18.8;19.6;20.4;21.2;22.1;22.9;23.7
24,5;F;NO;1.182;22.1;0.0605;19.5;20.4;21.2;22.1;23.0;23.8;24.6
25,5;F;NO;1.196;22.9;0.0597;20.3;21.2;22.0;22.9;23.9;24.7;25.5
26,5;F;NO;1.215;23.8;0.0588;21.2;22.0;22.9;23.8;24.8;25.6;26.5
27,5;F;NO;1.242;24.8;0.0578;22.0;22.9;23.8;24.8;25.7;26.6;27.4
28,5;F;NO;1.281;25.7;0.0567;22.9;23.8;24.7;25.7;26.7;27.6;28.4
29,5;F;NO;1.337;26.7;0.0554;23.9;24.8;25.7;26.7;27.7;28.6;29.4
30,5;F;NO;1.416;27.7;0.0540;24.8;25.7;26.7;27.7;28.7;29.6;30.4
31,5;F;NO;1.526;28.7;0.0522;25.8;26.7;27.7;28.7;29.7;30.6;31.4
32,5;F;NO;1.674;29.6;0.0502;26.7;27.7;28.6;29.6;30.6;31.5;32.4
33,5;F;NO;1.860;30.6;0.0479;27.7;28.6;29.6;30.6;31.6;32.4;33.2
34,5;F;NO;2.073;31.4;0.0453;28.6;29.5;30.5;31.4;32.4;33.2;34.0
35,5;F;NO;2.285;32.2;0.0426;29.5;30.4;31.3;32.2;33.1;33.9;34.7
36,5;F;NO;2.448;32.9;0.0399;30.3;31.1;32.0;32.9;33.7;34.5;35.2
37,5;F;NO;2.513;33.4;0.0375;30.9;31.8;32.6;33.4;34.3;35.0;35.7
38,5;F;NO;2.450;33.9;0.0355;31.5;32.3;33.0;33.9;34.6;35.3;36.0
39,5;F;NO;2.274;34.2;0.0341;31.9;32.6;33.4;34.2;34.9;35.6;36.3
40,5;F;NO;2.032;34.4;0.0331;32.2;32.9;33.6;34.4;35.2;35.8;36.5
41,5;F;NO;1.779;34.6;0.0327;32.4;33.1;33.8;34.6;35.3;36.0;36.7
42,5;F;NO;1.557;34.7;0.0326;32.5;33.2;33.9;34.7;35.4;36.1;36.8
23,5;F;SI;1.170;21.1;0.0618;18.6;19.4;20.2;21.1;21.9;22.7;23.5
24,5;F;SI;1.180;21.9;0.0610;19.4;20.2;21.0;21.9;22.8;23.6;24.4
25,5;F;SI;1.193;22.8;0.0602;20.2;21.0;21.8;22.8;23.7;24.5;25.3
26,5;F;SI;1.212;23.7;0.0593;21.0;21.8;22.7;23.7;24.6;25.4;26.3
27,5;F;SI;1.238;24.6;0.0583;21.8;22.7;23.6;24.6;25.5;26.4;27.2
28,5;F;SI;1.276;25.5;0.0572;22.7;23.6;24.5;25.5;26.5;27.4;28.2
29,5;F;SI;1.331;26.5;0.0559;23.7;24.6;25.5;26.5;27.5;28.4;29.2
30,5;F;SI;1.409;27.5;0.0544;24.6;25.5;26.4;27.5;28.5;29.4;30.2
31,5;F;SI;1.517;28.4;0.0527;25.5;26.5;27.4;28.4;29.4;30.3;31.2
32,5;F;SI;1.662;29.4;0.0507;26.5;27.4;28.4;29.4;30.4;31.3;32.1
33,5;F;SI;1.844;30.3;0.0483;27.5;28.4;29.3;30.3;31.3;32.2;33.0
34,5;F;SI;2.053;31.2;0.0457;28.4;29.3;30.2;31.2;32.1;33.0;33.8
35,5;F;SI;2.259;32.0;0.0430;29.2;30.1;31.0;32.0;32.9;33.7;34.4
36,5;F;SI;2.417;32.6;0.0403;30.0;30.9;31.7;32.6;33.5;34.2;35.0
37,5;F;SI;2.479;33.2;0.0379;30.7;31.5;32.3;33.2;34.0;34.7;35.4
38,5;F;SI;2.416;33.6;0.0360;31.2;32.0;32.7;33.6;34.4;35.1;35.7
39,5;F;SI;2.242;33.9;0.0345;31.6;32.4;33.1;33.9;34.7;35.4;36.0
40,5;F;SI;2.005;34.1;0.0336;31.9;32.6;33.3;34.1;34.9;35.6;36.2
41,5;F;SI;1.758;34.3;0.0331;32.1;32.8;33.5;34.3;35.1;35.7;36.4
42,5;F;SI;1.541;34.4;0.0331;32.2;32.9;33.6;34.4;35.2;35.9;36.5
23,5;M;NO;1.179;21.6;0.0602;19.1;19.9;20.7;21.6;22.5;23.3;24.0
24,5;M;NO;1.189;22.5;0.0595;19.9;20.8;21.6;22.5;23.4;24.2;25.0
25,5;M;NO;1.203;23.4;0.0587;20.8;21.6;22.4;23.4;24.3;25.1;25.9
26,5;M;NO;1.223;24.3;0.0578;21.6;22.5;23.3;24.3;25.2;26.1;26.9
27,5;M;NO;1.251;25.2;0.0568;22.5;23.4;24.3;25.2;26.2;27.1;27.9
28,5;M;NO;1.291;26.2;0.0557;23.4;24.3;25.2;26.2;27.2;28.1;28.9
29,5;M;NO;1.349;27.2;0.0544;24.4;25.3;26.2;27.2;28.2;29.1;29.9
30,5;M;NO;1.431;28.2;0.0530;25.3;26.2;27.2;28.2;29.2;30.1;30.9
31,5;M;NO;1.546;29.2;0.0513;26.3;27.2;28.2;29.2;30.2;31.1;31.9
32,5;M;NO;1.700;30.2;0.0493;27.3;28.2;29.2;30.2;31.2;32.1;32.9
33,5;M;NO;1.894;31.1;0.0470;28.3;29.2;30.1;31.1;32.1;33.0;33.8
34,5;M;NO;2.119;32.0;0.0444;29.2;30.1;31.0;32.0;33.0;33.8;34.6
35,5;M;NO;2.343;32.8;0.0417;30.1;31.0;31.9;32.8;33.7;34.5;35.2
36,5;M;NO;2.518;33.5;0.0390;30.9;31.7;32.6;33.5;34.3;35.1;35.8
37,5;M;NO;2.591;34.0;0.0366;31.6;32.4;33.2;34.0;34.9;35.6;36.3
38,5;M;NO;2.531;34.5;0.0346;32.1;32.9;33.7;34.5;35.3;35.9;36.6
39,5;M;NO;2.349;34.8;0.0331;32.5;33.3;34.0;34.8;35.6;36.2;36.9
40,5;M;NO;2.094;35.0;0.0322;32.8;33.6;34.3;35.0;35.8;36.4;37.1
41,5;M;NO;1.828;35.2;0.0317;33.1;33.8;34.4;35.2;36.0;36.6;37.3
42,5;M;NO;1.592;35.3;0.0317;33.2;33.9;34.6;35.3;36.1;36.7;37.4
23,5;M;SI;1.176;21.5;0.0607;19.0;19.8;20.6;21.5;22.3;23.1;23.9
24,5;M;SI;1.186;22.3;0.0599;19.8;20.6;21.4;22.3;23.2;24.0;24.8
25,5;M;SI;1.200;23.2;0.0591;20.6;21.4;22.3;23.2;24.1;24.9;25.7
26,5;M;SI;1.219;24.1;0.0582;21.4;22.3;23.1;24.1;25.0;25.9;26.7
27,5;M;SI;1.247;25.0;0.0572;22.3;23.2;24.1;25.0;26.0;26.8;27.7
28,5;M;SI;1.287;26.0;0.0561;23.2;24.1;25.0;26.0;27.0;27.8;28.7
29,5;M;SI;1.343;27.0;0.0549;24.1;25.1;26.0;27.0;28.0;28.9;29.7
30,5;M;SI;1.424;28.0;0.0534;25.1;26.0;27.0;28.0;29.0;29.9;30.7
31,5;M;SI;1.537;29.0;0.0517;26.1;27.0;27.9;29.0;30.0;30.9;31.7
32,5;M;SI;1.688;29.9;0.0497;27.0;28.0;28.9;29.9;30.9;31.8;32.7
33,5;M;SI;1.879;30.9;0.0474;28.0;28.9;29.9;30.9;31.9;32.7;33.5
34,5;M;SI;2.098;31.8;0.0448;28.9;29.9;30.8;31.8;32.7;33.5;34.3
35,5;M;SI;2.316;32.5;0.0421;29.8;30.7;31.6;32.5;33.4;34.2;35.0
36,5;M;SI;2.486;33.2;0.0394;30.6;31.5;32.3;33.2;34.1;34.8;35.5
37,5;M;SI;2.556;33.8;0.0370;31.3;32.1;32.9;33.8;34.6;35.3;36.0
38,5;M;SI;2.494;34.2;0.0350;31.8;32.6;33.4;34.2;35.0;35.7;36.3
39,5;M;SI;2.315;34.5;0.0335;32.2;33.0;33.7;34.5;35.3;36.0;36.6
40,5;M;SI;2.066;34.8;0.0326;32.6;33.3;34.0;34.8;35.5;36.2;36.8
41,5;M;SI;1.806;34.9;0.0321;32.8;33.5;34.2;34.9;35.7;36.3;37.0
42,5;M;SI;1.576;35.0;0.0321;32.9;33.6;34.3;35.0;35.8;36.5;37.1
