EG;sesso;primogenito;L;M;S;3;10;25;50;75;90;97
23,5;F;NO;1.331;30;0.0697;25.9;27.2;28.5;30;31.3;32.6;33.8
24,5;F;NO;1.346;31.1;0.0687;27;28.4;29.7;31.1;32.6;33.8;35.1
25,5;F;NO;1.364;32.4;0.0676;28.2;29.5;30.9;32.4;33.8;35.1;36.4
26,5;F;NO;1.387;33.7;0.0664;29.3;30.7;32.1;33.7;35.2;36.5;37.8
27,5;F;NO;1.418;35;0.0652;30.6;32;33.4;35;36.5;37.9;39.2
28,5;F;NO;1.46;36.3;0.0638;31.9;33.3;34.8;36.3;37.9;39.3;40.6
29,5;F;NO;1.519;37.7;0.0623;33.2;34.7;36.1;37.7;39.3;40.7;42
30,5;F;NO;1.601;39.2;0.0606;34.6;36.1;37.6;39.2;40.8;42.2;43.5
31,5;F;NO;1.718;40.6;0.0587;36;37.5;39;40.6;42.2;43.6;44.9
32,5;F;NO;1.88;42.1;0.0564;37.4;38.9;40.4;42.1;43.7;45;46.4
33,5;F;NO;2.1;43.5;0.0538;38.8;40.4;41.9;43.5;45.1;46.4;47.7
34,5;F;NO;2.385;44.9;0.0507;40.3;41.8;43.3;44.9;46.4;47.7;48.9
35,5;F;NO;2.726;46.2;0.0474;41.7;43.2;44.6;46.2;47.6;48.9;50
36,5;F;NO;3.091;47.3;0.0439;43;44.5;45.9;47.3;48.7;49.9;50.9
37,5;F;NO;3.414;48.3;0.0405;44.3;45.6;46.9;48.3;49.6;50.7;51.7
38,5;F;NO;3.607;49.1;0.0373;45.3;46.6;47.9;49.1;50.3;51.4;52.3
39,5;F;NO;3.598;49.8;0.0348;46.2;47.4;48.6;49.8;50.9;51.9;52.8
40,5;F;NO;3.372;50.3;0.0328;46.9;48;49.1;50.3;51.4;52.3;53.2
41,5;F;NO;2.985;50.6;0.0316;47.4;48.5;49.5;50.6;51.7;52.6;53.5
42,5;F;NO;2.537;50.9;0.0309;47.8;48.8;49.8;50.9;51.9;52.8;53.7
23,5;F;SI;1.325;29.7;0.0703;25.7;27;28.3;29.7;31.1;32.3;33.5
24,5;F;SI;1.339;30.9;0.0693;26.8;28.1;29.4;30.9;32.3;33.6;34.8
25,5;F;SI;1.357;32.1;0.0682;27.9;29.2;30.6;32.1;33.6;34.9;36.1
26,5;F;SI;1.38;33.4;0.067;29.1;30.5;31.8;33.4;34.9;36.2;37.5
27,5;F;SI;1.41;34.7;0.0658;30.3;31.7;33.1;34.7;36.2;37.6;38.9
28,5;F;SI;1.452;36;0.0644;31.5;33;34.5;36;37.6;39;40.3
29,5;F;SI;1.509;37.4;0.0629;32.9;34.3;35.8;37.4;39;40.4;41.7
30,5;F;SI;1.59;38.9;0.0612;34.2;35.7;37.2;38.9;40.4;41.8;43.2
31,5;F;SI;1.704;40.3;0.0592;35.6;37.1;38.6;40.3;41.9;43.3;44.6
32,5;F;SI;1.863;41.7;0.057;37;38.6;40.1;41.7;43.3;44.7;46
33,5;F;SI;2.078;43.2;0.0543;38.5;40;41.5;43.2;44.7;46.1;47.3
