EG;sesso;primogenito;L;M;S;3;10;25;50;75;90;97
23,5;F;NO;1.032;555;0.172;375;432;491;555;619;677;734
24,5;F;NO;1.026;631;0.191;403;476;549;631;712;785;857
25,5;F;NO;1.023;717;0.204;441;529;618;717;815;904;991
26,5;F;NO;1.022;815;0.211;489;593;698;815;930;1034;1137
27,5;F;NO;1.022;925;0.214;551;671;791;925;1059;1179;1297
28,5;F;NO;1.022;1051;0.214;627;762;899;1051;1203;1338;1472
29,5;F;NO;1.025;1194;0.211;719;870;1024;1194;1363;1515;1664
30,5;F;NO;1.029;1355;0.205;828;997;1167;1355;1543;1711;1876
31,5;F;NO;1.036;1537;0.199;959;1143;1330;1537;1743;1927;2107
32,5;F;NO;1.049;1740;0.191;1111;1312;1516;1740;1964;2163;2359
33,5;F;NO;1.072;1966;0.181;1286;1504;1723;1966;2206;2419;2628
34,5;F;NO;1.111;2210;0.171;1485;1718;1952;2210;2464;2690;2909
35,5;F;NO;1.173;2467;0.16;1704;1951;2197;2467;2731;2965;3190
36,5;F;NO;1.259;2724;0.147;1937;2193;2447;2724;2993;3228;3454
37,5;F;NO;1.354;2963;0.135;2170;2430;2686;2963;3230;3463;3686
38,5;F;NO;1.42;3166;0.124;2384;2641;2894;3166;3428;3656;3874
39,5;F;NO;1.415;3322;0.116;2559;2810;3057;3322;3579;3803;4018
40,5;F;NO;1.341;3431;0.111;2684;2929;3170;3431;3686;3910;4127
41,5;F;NO;1.237;3502;0.11;2757;3000;3240;3502;3759;3988;4211
42,5;F;NO;1.145;3545;0.111;2789;3034;3277;3545;3810;4046;4278
23,5;F;SI;1.03;537;0.177;358;415;473;537;601;658;715
24,5;F;SI;1.025;610;0.197;383;456;529;610;691;764;835
25,5;F;SI;1.022;693;0.21;418;506;595;693;792;880;966
26,5;F;SI;1.02;788;0.217;464;568;672;788;903;1007;1109
27,5;F;SI;1.02;895;0.22;522;641;762;895;1028;1148;1265
28,5;F;SI;1.021;1017;0.22;594;729;866;1017;1168;1303;1436
29,5;F;SI;1.023;1155;0.217;682;833;986;1155;1324;1475;1624
30,5;F;SI;1.027;1311;0.211;787;954;1123;1311;1498;1665;1830
