gestational_age_weeks,gestational_age_days,z_minus_3,z_minus_2,z_minus_1,z_0,z_plus_1,z_plus_2,z_plus_3,p03,p05,p10,p50,p90,p95,p97,L,M,S,lms_max_abs_relative_error,lms_rmse_relative_error
24,0,0.36,0.43,0.53,0.64,0.77,0.94,1.14,0.44,0.46,0.50,0.64,0.82,0.88,0.92,0.02497469718,0.64,0.1938451919,0.0103815,0.00620599
24,1,0.36,0.44,0.54,0.65,0.79,0.96,1.16,0.45,0.47,0.51,0.65,0.83,0.89,0.93,0.03439563083,0.65,0.1939676934,0.00917208,0.00434568
24,2,0.37,0.45,0.55,0.66,0.80,0.98,1.18,0.46,0.48,0.52,0.66,0.85,0.91,0.95,-0.02711388342,0.66,0.1931943304,0.010315,0.00483173
24,3,0.38,0.46,0.56,0.68,0.82,0.99,1.21,0.47,0.49,0.53,0.68,0.87,0.93,0.97,0.04784487312,0.68,0.1928110524,0.00814365,0.00431333
24,4,0.39,0.47,0.57,0.69,0.84,1.01,1.23,0.48,0.50,0.54,0.69,0.88,0.95,0.99,-0.01007389452,0.69,0.1920636905,0.00669077,0.00322254
24,5,0.39,0.48,0.58,0.70,0.85,1.03,1.25,0.49,0.51,0.55,0.70,0.90,0.96,1.01,-0.009873801035,0.7,0.192731094,0.00841975,0.00442907
24,6,0.40,0.49,0.59,0.72,0.87,1.05,1.28,0.50,0.52,0.56,0.72,0.92,0.98,1.03,0.05215519508,0.72,0.1927843483,0.00622634,0.00397559
25,0,0.41,0.50,0.60,0.73,0.88,1.07,1.30,0.51,0.53,0.57,0.73,0.93,1.00,1.05,-0.0003372468567,0.73,0.1918280091,0.0051813,0.00325045
25,1,0.42,0.50,0.61,0.74,0.90,1.09,1.33,0.52,0.54,0.58,0.74,0.95,1.02,1.07,-0.05412551569,0.74,0.1928234576,0.0104188,0.00391752
25,2,0.42,0.51,0.62,0.76,0.92,1.11,1.35,0.53,0.55,0.59,0.76,0.97,1.04,1.09,0.06657235385,0.76,0.1940059633,0.00890869,0.00442877
25,3,0.43,0.52,0.64,0.77,0.94,1.14,1.38,0.54,0.56,0.60,0.77,0.99,1.06,1.11,-0.01439094844,0.77,0.1941780019,0.00938667,0.00451354
25,4,0.44,0.53,0.65,0.79,0.95,1.16,1.40,0.55,0.57,0.61,0.79,1.01,1.08,1.13,0.05798779144,0.79,0.1934778841,0.00886131,0.00504543
25,5,0.45,0.54,0.66,0.80,0.97,1.18,1.43,0.56,0.58,0.63,0.80,1.03,1.10,1.15,-0.01492101405,0.8,0.1931304571,0.00812563,0.0041997
25,6,0.46,0.55,0.67,0.82,0.99,1.20,1.46,0.57,0.59,0.64,0.82,1.04,1.12,1.17,0.04321717472,0.82,0.1929185066,0.0103491,0.00636177
26,0,0.47,0.56,0.69,0.83,1.01,1.22,1.48,0.58,0.60,0.65,0.83,1.06,1.14,1.20,-0.01795929343,0.83,0.1925925542,0.0096765,0.00521228
26,1,0.47,0.58,0.70,0.85,1.03,1.25,1.51,0.59,0.62,0.66,0.85,1.08,1.16,1.22,0.04450037333,0.85,0.193059811,0.00724077,0.00411048
26,2,0.48,0.59,0.71,0.86,1.05,1.27,1.54,0.60,0.63,0.67,0.86,1.10,1.19,1.24,-0.0234972717,0.86,0.1934793694,0.00836509,0.00440946
26,3,0.49,0.60,0.72,0.88,1.07,1.29,1.57,0.61,0.64,0.69,0.88,1.13,1.21,1.26,0.01838546714,0.88,0.1933817234,0.00696855,0.00352712
26,4,0.50,0.61,0.74,0.89,1.09,1.32,1.60,0.62,0.65,0.70,0.89,1.15,1.23,1.29,-0.05688686162,0.89,0.1937847653,0.00812,0.00501175
26,5,0.51,0.62,0.75,0.91,1.11,1.34,1.63,0.63,0.66,0.71,0.91,1.17,1.25,1.31,-0.007875925286,0.91,0.1938907012,0.00462109,0.00238278
