gestational_age_weeks,gestational_age_days,z_minus_3,z_minus_2,z_minus_1,z_0,z_plus_1,z_plus_2,z_plus_3,p03,p05,p10,p50,p90,p95,p97,L,M,S,lms_max_abs_relative_error,lms_rmse_relative_error
24,0,0.34,0.41,0.5,0.6,0.73,0.89,1.07,0.42,0.44,0.47,0.6,0.77,0.83,0.87,-0.05822441016,0.6,0.1921799209,0.00875258,0.00466771
24,1,0.34,0.42,0.51,0.61,0.74,0.9,1.1,0.43,0.45,0.48,0.61,0.79,0.84,0.88,-0.05706642272,0.61,0.1926168742,0.0161143,0.00807211
24,2,0.35,0.43,0.52,0.63,0.76,0.92,1.12,0.44,0.46,0.49,0.63,0.8,0.86,0.9,0.03839636018,0.63,0.1917421963,0.00637752,0.00407153
24,3,0.36,0.43,0.53,0.64,0.77,0.94,1.14,0.44,0.46,0.5,0.64,0.82,0.88,0.92,0.02497469718,0.64,0.1938451919,0.0103815,0.00620599
24,4,0.36,0.44,0.54,0.65,0.79,0.96,1.16,0.45,0.47,0.51,0.65,0.83,0.89,0.94,0.02578101272,0.65,0.1944352171,0.00947577,0.0044035
24,5,0.37,0.45,0.55,0.66,0.8,0.98,1.18,0.46,0.48,0.52,0.66,0.85,0.91,0.95,-0.02711388342,0.66,0.1931943304,0.010315,0.00483173
24,6,0.38,0.46,0.56,0.68,0.82,0.99,1.21,0.47,0.49,0.53,0.68,0.87,0.93,0.97,0.04784487312,0.68,0.1928110524,0.00814365,0.00431333
25,0,0.39,0.47,0.57,0.69,0.84,1.01,1.23,0.48,0.5,0.54,0.69,0.88,0.95,0.99,-0.01007389452,0.69,0.1920636905,0.00669077,0.00322254
25,1,0.39,0.48,0.58,0.7,0.85,1.03,1.25,0.49,0.51,0.55,0.7,0.9,0.96,1.01,-0.009873801035,0.7,0.192731094,0.00841975,0.00442907
25,2,0.4,0.49,0.59,0.71,0.87,1.05,1.28,0.5,0.52,0.56,0.71,0.92,0.98,1.03,-0.08463445297,0.71,0.1927391888,0.00944025,0.00634773
25,3,0.41,0.49,0.6,0.73,0.88,1.07,1.3,0.51,0.53,0.57,0.73,0.93,1.0,1.05,0.01790898823,0.73,0.1927559032,0.0118601,0.00467889
25,4,0.42,0.5,0.61,0.74,0.9,1.09,1.33,0.52,0.54,0.58,0.74,0.95,1.02,1.07,-0.05412551569,0.74,0.1928234576,0.0104188,0.00391752
25,5,0.42,0.51,0.62,0.76,0.92,1.11,1.35,0.53,0.55,0.59,0.76,0.97,1.04,1.09,0.06657235385,0.76,0.1940059633,0.00890869,0.00442877
25,6,0.43,0.52,0.64,0.77,0.93,1.13,1.38,0.54,0.56,0.6,0.77,0.99,1.06,1.11,-0.004297480148,0.77,0.1935323168,0.00884919,0.00456577
26,0,0.44,0.53,0.65,0.78,0.95,1.16,1.4,0.55,0.57,0.61,0.78,1.01,1.08,1.13,-0.0649576192,0.78,0.1934571527,0.0101918,0.00575669
26,1,0.45,0.54,0.66,0.8,0.97,1.18,1.43,0.56,0.58,0.62,0.8,1.02,1.1,1.15,-0.005496994119,0.8,0.193315704,0.00734358,0.00409952
26,2,0.46,0.55,0.67,0.81,0.99,1.2,1.45,0.57,0.59,0.64,0.81,1.04,1.12,1.17,-0.06278017414,0.81,0.1924105222,0.00908723,0.00504736
26,3,0.46,0.56,0.68,0.83,1.01,1.22,1.48,0.58,0.6,0.65,0.83,1.06,1.14,1.19,0.03449767147,0.83,0.1940222733,0.00879572,0.00387186
